venturecaptialform,desc,keyppl,datefounded,blog,website,twitter,location
Mindset Ventures,Mindset Ventures is a venture capital founded by Daniel Ibri., ,2016, ,mindset.ventures, ,São Paulo San Francisco Tel Aviv 
Blumberg Capital,A , ,1991, ,blumbergcapital.com,@blumbergcapital,San Francisco Tel Aviv New York City 
MuckerLab,A Santa Monica-based accelerator firm that invests in companies within the technology sector       , ,2011,muckerlab.com/blog/ ,muckercapital.com/mucker.../about/,@mucker,"Santa Monica, California "
Arab Angel Fund,?, ,2016,medium.com/arab-angel-fund ,arabangel.vc,@arabangelfund, 
Kayne Partners,A venture capital and private equity firm investing in growing companies operating in North America. , , , ,kaynecapital.com/growth...equity/, ,Los Angeles 
Innogest Capital,Innogest Capital is a Milan based venture capital firm focused on investments in healthcare and digital technology based companies., ,2006, ,innogestcapital.com,@Innogest_VC,Milan Italy Turin Geneva San Francisco 
xFund,?, ,2014,blog.xfund.com ,xfund.com,@xfund, 
Carthona Capital,Carthona Capital is a Sydney-based company founded in 2014., ,1-Feb-14, ,carthonacapital.com, ,Sydney 
Endeavour Vision,A venture capital and private equity firm investing in growth-stage medical technology and digital health companies. , , , ,endeavourvision.com,@EndeavourVision, 
Five Seasons Ventures,"Five Seasons Ventures is a venture capital firm headquartered in Paris, France that was founded in 2016. The firm typically invests in companies developing new food products, food manufacturing technologies, and companies addressing supply chain challenges faced by the food industry.  ", , , ,fiveseasons.vc,@fiveseasonsvc, 
Rock Springs Capital,Rock Springs Capital is a Baltimore-based company founded in 2013., ,2013, ,rockspringscapital.com, ,Baltimore 
RA Capital Management,A venture capital and private equity firm investing in public and private healthcare and life science companies. , ,2001, ,racap.com, ,Boston 
Grotech Ventures,"Grotech Ventures is a Vienna, Virginia-based venture capital company founded in 1984.", ,1984, ,grotech.com,@GrotechVenture,"Vienna, Virginia "
Prelude Ventures,Prelude Ventures invests in companies developing technologies to reduce global carbon dioxide., ,2013, ,preludeventures.com,@preludevc,San Francisco 
Steamboat Ventures,Steamboat Ventures is a venture capital company founded in 2000., ,2000, ,steamboatvc.com, ,"Hong Kong Glendale, California "
Jackson Square Ventures,Jackson Square Ventures is an early stage , ,2011,jsv.com/blog ,jsv.com,@jsv_vc,San Francisco 
Bain Capital Ventures,Bain Capital Ventures is the venture capital arm of , ,2001, ,baincapitalventures.com,@baincapvc,Boston 
Entrée Capital,Entrée Capital is a London-based venture capital company founded in 2004., ,2004,medium.com/entree-capital ,entreecap.com,@entreecap,London 
Meusinvest,A venture capital firm in Belgium that provides financing and other services to businesses, ,1985, ,meusinvest.be,@meusinvest,Liège 
S.R.I.W.,Societe Regionale d'Investissement de Wallonie (SRIW) is a Belgium based investment firm focused on the economic development of and investment in the Wallonia region of Belgium., , , ,sriw.be, ,Liège Wallonia 
Ascent Venture Partners,"Ascent Venture Partners invests in earlytechnology enterprises in the East Coast US, Europe and Israel.", , , ,ascentvp.com,@ascentvp,Boston 
Fenway Summer Ventures,Fenway Summer Ventures invests in early-stage in financial technology companies., ,2014, ,fenwaysummer.com,@fsv_vc,"Bethesda, Maryland "
Distributed Global,Distributed Global is an asset management company exclusively focused on digital and blockchain-based digital assets., , , ,distributedglobal.com,@@distributedG,Los Angeles New York City 
Charter Life Sciences,Charter Life Sciences is a Mountain View based venture capital firm focused on clinical stage investments in early-stage opportunities., , , ,charterls.com, ,"Mountain View, California "
NCT Ventures,NCT Ventures invests in seed and early stage technology companies in the Midwest., ,2000, ,nctventures.com,@nctventures,"Columbus, Ohio "
E-merge (company),E-merge is a Brussels-based venture capital company founded in 1998 by Laurent Drion., ,1998, ,emerge.be,@emerge_be,Brussels 
Decheng Capital,Decheng Capital is a venture capital company founded in 2011., ,2011, ,decheng.com, ,"Shanghai Menlo Park, California New York City "
301 Inc.,"301 Inc. is the venture capital and development unit of General Mills. It is located in Minneapolis, Minnesota and was founded in 2012. 301 Inc. makes investments and mentors early stage food companies. ", , , ,301inc.com, ,Minneapolis 
Brace Pharma Capital,Brace Pharma Capital is the strategic investment subsidiary of EMS S/A and focus their investments on therapies for diseases with a high degree of unmet medical need and insufficient treatment options., , , ,bracepharma.com, ,"Rockville, Maryland "
Thomas Weisel Venture Partners,Thomas Weisel Venture Partners (TWVP) is a dormant early stage venture capital firm that invested in emerging information technology companies., ,Dec-00, ,twvp.com, ,San Francisco 
Fidelity Biosciences,A private venture capital and private equity that is a subsidiary of financial services conglomerate Fidelity Investments, ,1946, ,fidelitybiosciences.com, ,Boston 
Boulder Ventures,Boulder Ventures invests in companies focused on information technology and life sciences., ,1995,boulderventures.com/blog ,boulderventures.com,@boulderVC,"Boulder, Colorado "
Route 66 Ventures,A venture capital and private equity firm investing in early and growth-stage companies operating within the financial technology and services industries. , ,2012, ,route66ventures.com,@route66ventures,"Alexandria, Virginia "
Founders' Co-op,U.S-based venture capital firm investing on early-stage startups in the Pacific Northwest of U.S., , ,crashdev.com ,founderscoop.com,@founderscoop,Seattle 
Apax Partners,Apax Partners is an independent global partnership focused solely on long-term investment in growth companies., ,1981, ,apax.com,@apax_partners,London Hong Kong Mumbai Munich New York City Shanghai Tel Aviv 
Tallwood Venture Capital,"Tallwood Venture Capital is a Menlo Park, California-based venture capital company founded in 2000.", ,2000, ,tallwoodvc.com, ,"Menlo Park, California "
Cross Atlantic Capital Partners,Cross Atlantic Capital Partners is a venture capital firm managing four venture funds with over $500M in AUM., ,1999, ,xacp.com, ,"Radnor, Pennsylvania Dublin Edinburgh "
Lakestar,Lakestar is a venture capital firm investing in digital and technology companies in Europe., ,2012, ,lakestar.com, ,Zürich Berlin London New York City Hong Kong 
Ropart Asset Management,"Ropart Asset Management is a Greenwich, Connecticut-based company.", , , ,ropart.com, ,"Greenwich, Connecticut "
JAZZ Venture Partners,?, ,2015, ,jazzvp.com,@jazz_vp,San Francisco 
Innovation Nest,A venture capital and private equity firm investing in business to business software companies. , ,2010,innovationnest.co ,innovationnest.co,@innovationnest,Kraków Poland 
ING Group,Multinational financial services corporation, , , ,ing.com,@ing_news, 
5AM Ventures,?, , , ,5amventures.com,@5amventures,San Francisco California United States 
Downing Ventures,"Downing Ventures, a division of Downing LLP, invests venture capital into early and growth stage technology businesses.", , , ,downing.co.uk/ventures,@downingllp,London 
Camber Creek,"Camber Creek invests in real estate businesses, including construction, property management, development, and leasing.", ,2009,cambercreek.com ,cambercreek.com,@camber_creek,"Washington, D.C. New York City "
Cowboy Ventures,Cowboy Ventures is a seed-stage focused fund investing in digital startups., ,2012, ,cowboy.vc,@cowboyvc,"Menlo Park, California "
JLL Spark,A venture capital and private equity firm investing in commercial real estate and proptech., , , ,us.jll.com/en/jll-spark,@jll,San Francisco 
Gilde Healthcare Partners,Gilde Healthcare Partners is a company founded in 1982., ,1982, ,gildehealthcare.com,@gildehealthcare,"Utrecht Cambridge, Massachusetts Frankfurt "
Urban Innovation Fund,"Urban Innovation Fund invests in companies focused on transportation, housing, food systems, sustainability, education, workforce, health, public safety, arts and recreation, business and financial services, and government and civic technology.", ,2016,medium.com/@UrbanInnoFund ,urbaninnovationfund.com,@urbaninnofund,San Francisco 
Macro Ventures,"Macro Ventures is a Menlo Park, California-based venture capital company founded in 2017.", ,1-Jan-17, ,m.ventures, ,"Menlo Park, California "
ADT Inc,"ADT Inc is a provider of monitored security, interactive home and business automation and related services in the United States and Canada.", ,1874, ,adt.com,@adt,"Boca Raton, Florida "
Point Nine Capital,German venture capital firm investing on companies globally., , ,medium.com/point-nine-news ,pointninecap.com,@pointninecap,Berlin 
Canaan Partners,"Canaan Partners is an early-stage venture capital firm investing in entrepreneurs in the financial technology, cloud, marketplaces, frontier technology, biopharmaceutical, digital health and medical technology industries.", ,1987, ,canaan.com,@canaanpartners,"Menlo Park, California San Francisco Westport, Connecticut New York City "
Invision Private Equity AG,Invision is a Swiss private equity firm investing in companies in Europe., ,1997, ,invision.ch, ,Zug 
BioAdvance,"BioAdvance invests in companies developing technologies in sectors of therapeutics, research tools, medical devices, diagnostics, and health information technology.", ,2002, ,bioadvance.com, ,"Radnor, Pennsylvania "
Northzone,A European venture capital firm investing in technology companies. , , , ,northzone.com,@northzonevc,Stockholm London New York City Oslo 
Mayfield Fund,?, , ,blog.mayfield.com ,mayfield.com,@mayfieldfund,"Menlo Park, California "
Chevron Technology Ventures,"Chevron Technology Ventures is a Houston, Texas-based venture capital firm founded in 1999. It is the corporate venture capital arm of Chevron.", ,1999, ,chevron.com/technolog...y-ventures,@chevron,Houston 
Lightspeed China Partners,Lightspeed China Partners is a Shanghai-based venture capital company founded in 2006., ,2006, ,lightspeedcp.com, ,Shanghai 
Bienville Capital,Bienville Capital is a New York based investment firm and hedge fund manager., ,Dec-08, ,bienvillecapital.com, ,New York City 
Rising Tide (company),"We are an international, stage-agnostic venture capital firm single-mindedly focused on character, commitments and results.", ,2007,rtf.vc/blog/ ,rtf.vc,@RisingTideVC,San Francisco 
Pitango Venture Capital,?, ,1993, ,pitango.com,@Pitango,Herzliya 
venBio,"A venture capital and private equity firm making early and late-stage investments in life science, healthcare, and therapeutics companies. ", , , ,venbio.com, ,San Francisco 
Unilever Ventures,?, ,2002, ,unileverventures.com,@UnileverVenture,London Mumbai New York City 
Toba Capital,"Toba Capital is a venture capital firm based in Newport Beach, California.  It was founded in late 2012 by Vinny Smith, former CEO of Quest Software.  The company invests in software and technology services companies.  It is the largest venture capital firm in Orange County.", , , ,tobacapital.com,@tobacap,California 
MDI Ventures,"A corporate venture capital firm and a sub-company of Telkom Indonesia that funds seed, early and late stage ventures since 2015", ,Aug-15, ,mdi.vc, ,Jakarta 
Hummer Winblad Venture Partners,"Hummer Winblad Venture Partners is a software and web focused venture capital firm based in San Francisco, California. ", ,1989, ,hwvp.com,@humwin,San Francisco 
